Strategia,Średni czas obliczeniowy (s),Średni koszt trasy (min),Średnia liczba przesiadek
swap,60.96355843544006,174.0,14.0
2-opt,58.18142088254293,174.0,14.0
insert,126.38676937421162,177.0,14.0
hybrid,61.17996835708618,178.0,13.333333333333334
adaptive,41.91398596763611,182.33333333333334,15.0
